# Source: Battara et al. (2020)
# LB: best lower bound
inst   J   W   LB     bils.best  bils.avg
AP001  18  15  13.39  13.45      13.83
AP002  19  9   31.52  31.52      31.52
AP003  20  15  19.63  19.72      20.98
AP004  21  15  21.15  21.15      21.31
AP005  22  12  21.99  21.99      22.14
AP006  23  10  29.09  29.09      29.14
AP007  24  12  21.50  21.50      21.50
AP008  25  14  26.76  27.06      27.86
AP009  26  11  25.59  25.59      25.78
AP010  27  13  20.67  24.40      24.40
AP011  28  11  18.02  26.96      26.96
AP012  29  14  25.23  25.23      25.44
AP013  30  10  24.10  31.08      31.08
AP014  31  14  18.42  18.42      18.87
AP015  32  11  23.45  31.87      31.87
AP016  33  15  19.35  23.41      23.42
AP017  34  9   20.74  32.82      32.82
AP018  35  13  20.73  30.77      31.35
AP019  36  15  16.77  23.01      23.08
AP020  37  13  17.43  24.73      24.75
AP021  38  14  20.77  28.95      29.05
AP022  39  15  17.92  23.98      23.98
AP023  40  10  18.29  42.32      42.32
AP024  41  10  17.42  36.59      36.59
AP025  42  15  24.17  32.82      33.12
AP026  18  10  29.05  29.05      29.05
AP027  19  12  20.13  20.13      20.50
AP028  20  11  20.39  20.39      20.39
AP029  21  9   28.89  28.89      28.89
AP030  22  10  34.19  34.19      34.19
AP031  23  11  30.47  30.47      30.47
AP032  24  14  20.37  20.37      20.88
AP033  25  11  23.26  23.26      23.26
AP034  26  10  31.02  34.37      34.37
AP035  27  14  21.18  21.24      21.29
AP036  28  14  22.82  22.82      22.82
AP037  29  11  24.44  33.37      33.37
AP038  30  10  21.74  29.95      29.95
AP039  31  14  15.71  18.80      18.91
AP040  32  15  23.71  26.59      26.95
AP041  33  14  28.24  28.34      28.50
AP042  34  10  36.51  36.51      36.51
AP043  35  9   17.99  37.51      37.51
AP044  36  9   19.36  39.42      39.42
AP045  37  10  17.74  33.91      33.91
AP046  38  15  18.68  29.21      29.94
AP047  39  15  17.61  22.34      22.58
AP048  40  10  17.68  33.69      33.69
AP049  41  9   18.00  37.45      37.45
AP050  42  15  12.38  25.94      27.15
AP051  18  10  30.49  30.49      30.49
AP052  19  13  15.04  15.05      15.06
AP053  20  12  23.61  23.61      23.61
AP054  21  13  22.86  23.01      23.40
AP055  22  15  19.43  19.43      19.43
AP056  23  14  19.59  19.70      19.71
AP057  24  11  27.16  27.16      27.16
AP058  25  9   29.38  32.75      32.75
AP059  26  14  20.89  20.89      20.90
AP060  27  13  26.18  26.18      26.18
AP061  28  11  28.14  28.14      28.14
AP062  29  11  26.19  26.19      26.19
AP063  30  12  21.73  31.23      31.29
AP064  31  15  17.08  23.37      24.70
AP065  32  14  22.77  22.77      23.13
AP066  33  14  15.73  22.90      22.90
AP067  34  11  25.51  33.73      34.01
AP068  35  12  16.38  29.71      29.82
AP069  36  10  21.54  41.44      41.44
AP070  37  10  20.11  38.55      38.55
AP071  38  12  22.26  32.40      33.70
AP072  39  11  15.50  31.37      31.37
AP073  40  9   18.81  40.30      40.30
AP074  41  14  17.63  31.04      31.25
AP075  42  15  12.48  28.15      28.78
AP076  18  11  21.05  21.05      21.42
AP077  19  10  17.83  17.83      17.83
AP078  20  11  23.35  23.35      23.68
AP079  21  11  25.26  25.26      25.26
AP080  22  15  16.67  16.74      17.11
AP081  23  13  15.30  15.30      15.32
AP082  24  14  18.57  18.57      19.49
AP083  25  15  20.69  20.80      21.91
AP084  26  15  17.66  17.70      17.91
AP085  27  12  27.32  27.32      27.32
AP086  28  13  15.85  23.60      23.73
AP087  29  9   31.29  31.29      31.29
AP088  30  13  23.08  25.75      26.11
AP089  31  13  20.32  22.29      22.31
AP090  32  14  16.81  21.30      21.59
AP091  33  15  14.28  19.50      20.40
AP092  34  9   21.92  41.81      41.81
AP093  35  13  19.27  27.80      28.26
AP094  36  11  15.93  32.38      32.38
AP095  37  12  19.15  32.64      32.81
AP096  38  14  19.37  26.28      26.41
AP097  39  14  22.09  30.39      30.58
AP098  40  15  14.53  27.43      28.34
AP099  41  14  14.47  27.10      27.50
AP100  42  10  19.89  46.92      46.92
MP001  18  11  28.41  28.41      28.41
MP002  19  13  28.37  28.47      28.54
MP003  20  13  23.80  23.91      23.91
MP004  21  12  27.21  27.27      27.30
MP005  22  14  18.75  18.75      18.97
MP006  23  9   25.91  25.91      25.91
MP007  24  14  22.31  23.38      23.47
MP008  25  12  26.01  29.13      29.42
MP009  26  9   41.67  41.67      41.67
MP010  27  12  24.63  24.63      24.90
MP011  28  11  31.10  32.94      32.94
MP012  29  9   33.52  33.52      33.52
MP013  30  12  26.88  26.88      26.88
MP014  31  10  28.77  39.01      39.01
MP015  32  14  21.87  24.95      24.96
MP016  33  13  26.80  26.80      27.29
MP017  34  13  21.70  27.09      27.95
MP018  35  14  26.54  31.68      32.20
MP019  36  10  25.91  33.69      33.69
MP020  37  13  20.52  23.42      23.77
MP021  38  13  26.88  32.24      32.24
MP022  39  9   21.28  38.93      38.93
MP023  40  14  19.01  30.68      30.92
MP024  41  12  34.63  34.76      34.76
MP025  42  10  16.08  32.09      32.12
MP026  18  10  27.33  27.33      27.33
MP027  19  10  28.66  28.66      28.66
MP028  20  11  25.60  25.60      25.60
MP029  21  13  27.63  27.94      28.03
MP030  22  9   30.31  30.31      30.31
MP031  23  12  31.62  31.77      31.77
