inst   n     m   B    sumStd
AP001  2412  15  134  6.708330999999999
AP002  1349  9   71   7.593262999999999
AP003  2880  15  144  6.223699
AP004  1890  15  90   9.903689
AP005  1958  12  89   8.062200999999998
AP006  1357  10  59   10.062127999999998
AP007  1584  12  66   10.837880999999998
AP008  1950  14  78   10.731453
AP009  1716  11  66   9.975524000000002
AP010  2133  13  79   9.837461999999999
AP011  1596  11  57   11.577544999999999
AP012  2001  14  69   12.118289000000003
AP013  1470  10  49   12.100167000000003
AP014  2077  14  67   12.414684000000001
AP015  1632  11  51   12.905280000000003
AP016  1914  15  58   15.372576999999998
AP017  1292  9   38   14.077892999999998
AP018  2135  13  61   12.768458999999996
AP019  2412  15  67   13.275964
AP020  1850  13  50   15.295816000000002
AP021  2014  14  53   15.789384999999996
AP022  2301  15  59   15.063982
AP023  1840  10  46   12.961145
AP024  1476  10  36   16.564724
AP025  2016  15  48   18.433473999999993
AP026  1368  10  76   7.846503000000001
AP027  2185  12  115  6.243195999999999
AP028  1620  11  81   8.114903
AP029  1449  9   69   7.757323999999999
AP030  1474  10  67   8.929841
AP031  2231  11  97   6.794787000000001
AP032  1968  14  82   10.227906999999998
AP033  1625  11  65   10.102193999999999
AP034  1560  10  60   9.964352
AP035  2106  14  78   10.67501
AP036  1904  14  68   12.207178999999996
AP037  1711  11  59   11.001598
AP038  1380  10  46   12.796676
AP039  2077  14  67   12.402649
AP040  1952  15  61   14.636116000000003
AP041  2046  14  62   13.356389999999998
AP042  1564  10  46   12.963059
AP043  1225  9   35   15.338601
AP044  1584  9   44   12.165469
AP045  1665  10  45   13.145489999999999
AP046  2242  15  59   15.040615000000003
AP047  2106  15  54   16.647783
AP048  1480  10  37   16.110799
AP049  1312  9   32   16.657633
AP050  2100  15  50   17.825953000000005
AP051  1206  10  67   8.932317000000001
AP052  2128  13  112  6.926549000000001
AP053  2080  12  104  6.920717000000002
AP054  2016  13  96   8.102637
AP055  1980  15  90   9.998271
AP056  1863  14  81   10.350071999999997
AP057  1680  11  70   9.310790999999998
AP058  1575  9   63   8.571054
AP059  2340  14  90   9.243782
AP060  1755  13  65   11.965483
AP061  1820  11  65   10.117828000000001
AP062  1682  11  58   11.268534999999998
AP063  1950  12  65   10.930337
AP064  2170  15  70   12.826024000000004
AP065  2080  14  65   12.803520999999998
AP066  1980  14  60   13.94958
AP067  1768  11  52   12.502691
AP068  1575  12  45   15.698010000000002
AP069  1728  10  48   12.473857
AP070  1480  10  40   14.913426999999999
AP071  1634  12  43   16.413427000000002
AP072  1677  11  43   15.032891
AP073  1240  9   31   17.415183
AP074  1927  14  47   17.72194
AP075  1974  15  47   19.115114000000002
AP076  1746  11  97   6.7602020000000005
AP077  1311  10  69   8.658487
AP078  1820  11  91   7.230882
AP079  1638  11  78   8.406706000000002
AP080  2222  15  101  8.876574999999999
AP081  1817  13  79   9.831908000000002
AP082  2040  14  85   9.864762
AP083  2025  15  81   11.078867
AP084  2236  15  86   10.380739999999998
AP085  1782  12  66   10.866114
AP086  2128  13  76   10.160044000000001
