inst        n     m   B   sumStd
ap-16-46-0  2162  16  47  20.019459
ap-16-47-0  2350  16  50  19.151903000000004
ap-16-48-0  2304  16  48  19.917223000000003
ap-16-48-2  2256  16  47  20.297492999999996
ap-16-52-1  2444  16  47  20.229547000000004
ap-16-53-0  2332  16  44  21.384977
ap-16-54-2  2214  16  41  23.368457999999993
ap-16-55-3  2420  16  44  21.564764999999998
ap-16-57-1  2451  16  43  22.211801000000005
ap-16-58-1  2436  16  42  22.781060000000004
ap-16-59-0  2419  16  41  22.936264
ap-16-60-0  2640  16  44  21.591636
ap-16-60-3  2400  16  40  23.519593999999998
ap-16-61-1  2318  16  38  24.70046500000001
ap-16-62-1  2356  16  38  24.80046500000001
ap-16-64-2  2176  16  34  27.607810999999995
ap-16-67-0  2278  16  34  27.816322
ap-16-67-1  2345  16  35  27.41634600000001
ap-16-67-3  2479  16  37  25.709195999999995
ap-17-45-3  2700  17  60  16.768817000000002
ap-17-47-3  2679  17  57  17.669411000000004
ap-17-50-0  2450  17  49  20.671055
ap-17-50-2  2400  17  48  21.239934999999996
ap-17-52-3  2600  17  50  20.393041999999998
ap-17-53-2  2332  17  44  22.973171999999995
ap-17-54-0  2538  17  47  21.617483000000004
ap-17-55-0  2420  17  44  23.015366999999994
ap-17-56-1  2576  17  46  21.864640000000005
ap-17-58-2  2320  17  40  24.917430999999993
ap-17-65-1  2535  17  39  26.09723100000001
ap-17-67-2  2345  17  35  28.385941999999996
ap-18-43-2  2580  18  60  17.894338999999995
ap-18-44-0  2992  18  68  15.685438
ap-18-46-2  2530  18  55  19.339359999999996
ap-18-48-1  2880  18  60  17.975706000000002
ap-18-49-0  2597  18  53  20.074859
ap-18-49-2  2548  18  52  20.698458999999996
ap-18-51-3  2754  18  54  19.961398
ap-18-52-2  2496  18  48  22.458830999999993
ap-18-53-1  2756  18  52  20.698664000000004
ap-18-59-2  2478  18  42  25.345233999999994
ap-18-59-3  2714  18  46  23.117337999999997
ap-18-61-0  2623  18  43  24.909728000000005
ap-18-65-2  2470  18  38  27.891446999999996
ap-18-66-0  2706  18  41  26.05873399999999
ap-19-43-0  2838  19  66  17.142003999999996
ap-19-43-1  3096  19  72  15.788745
ap-19-44-2  2684  19  61  18.558234999999996
ap-19-45-1  2970  19  66  17.07572
ap-19-55-1  2915  19  53  21.113561000000004
ap-19-56-2  2688  19  48  23.717623999999994
ap-19-57-0  2850  19  50  22.489518
ap-19-57-2  2679  19  47  24.148102999999992
ap-19-60-2  2580  19  43  25.944540999999994
ap-19-62-2  2604  19  42  26.709975999999994
ap-19-62-3  2914  19  47  24.046780999999996
ap-19-63-0  2646  19  42  26.830363
ap-19-63-1  2835  19  45  25.02150000000001
