inst        n     m   B   sumStd
ap-23-68-0  3264  23  48  28.535994
ap-23-68-3  3604  23  53  25.827428999999995
ap-23-69-0  3312  23  48  28.237844999999986
ap-23-71-1  3337  23  47  28.82907600000001
ap-23-71-2  3124  23  44  30.837637999999995
ap-23-71-3  3621  23  51  26.961681
ap-23-73-1  3358  23  46  29.730886000000012
ap-23-73-2  3212  23  44  31.166435999999994
ap-23-73-3  3577  23  49  28.058170999999998
ap-23-74-0  3626  23  49  27.914934
ap-23-76-0  3800  23  50  27.39193200000001
ap-23-76-2  3192  23  42  32.153324999999995
ap-23-76-3  3496  23  46  29.420741999999997
ap-23-82-2  3198  23  39  35.044380999999994
ap-23-83-3  3486  23  42  32.507411
ap-23-86-1  3268  23  38  35.64184400000001
ap-23-89-3  3560  23  40  34.012864
ap-23-90-0  3420  23  38  35.77689400000003
ap-24-70-2  3290  24  47  30.081535999999996
ap-24-72-0  3528  24  49  29.365616000000006
ap-24-72-3  3744  24  52  27.615519
ap-24-74-3  3700  24  50  28.512245999999998
ap-24-76-1  3496  24  46  31.043483000000013
ap-24-77-2  3388  24  44  32.639911999999995
ap-24-78-1  3510  24  45  31.89806300000001
ap-24-82-0  3444  24  42  33.93810400000002
ap-24-84-1  3444  24  41  34.56581600000001
ap-24-84-2  3276  24  39  36.20381199999999
ap-24-84-3  3612  24  43  32.780592
ap-24-85-0  3400  24  40  35.95344200000001
ap-24-85-1  3485  24  41  34.92701800000001
ap-24-85-2  3230  24  38  36.970510999999995
ap-24-90-1  3420  24  38  37.155102000000014
ap-24-90-2  3330  24  37  38.46886
ap-24-91-0  3549  24  39  36.841559999999994
ap-24-91-1  3458  24  38  37.891444000000014
ap-25-70-0  3710  25  53  28.135000999999995
ap-25-72-1  3672  25  51  29.228367000000013
ap-25-75-1  3600  25  48  30.766581000000013
ap-25-79-0  3871  25  49  30.29334
ap-25-80-0  4000  25  50  29.494733000000004
ap-25-81-2  3483  25  43  34.63749599999999
ap-25-82-1  3608  25  44  33.44964500000001
ap-25-82-3  3772  25  46  32.248903999999996
ap-25-83-2  3486  25  42  35.283691999999995
ap-25-87-2  3480  25  40  37.423576
ap-25-89-2  3471  25  39  38.183436
ap-25-91-3  3913  25  43  34.630811
ap-26-69-1  3795  26  55  28.334323000000012
ap-26-70-3  4060  26  58  26.505095999999998
ap-26-75-0  3750  26  50  30.859685
ap-26-78-0  3822  26  49  31.342718000000005
ap-26-79-2  3634  26  46  33.64948699999999
ap-26-80-2  3600  26  45  34.13719799999999
ap-26-81-3  3969  26  49  31.813714999999995
ap-26-83-1  3818  26  46  33.79798500000001
ap-26-84-0  4032  26  48  31.991686000000005
ap-26-87-0  3828  26  44  34.889326000000004
ap-26-88-3  4048  26  46  33.823601000000004
ap-27-69-3  4278  27  62  25.927428999999997
ap-27-71-0  3976  27  56  28.80907500000001
ap-27-72-2  3744  27  52  30.997446999999994
ap-27-78-3  4134  27  53  30.305071999999996
ap-27-81-0  3807  27  47  34.172606
ap-27-83-0  3901  27  47  34.34080100000001
ap-27-87-3  4176  27  48  33.421593
ap-27-88-1  3872  27  44  36.48779900000002
ap-27-88-2  3784  27  43  37.65958
ap-27-89-0  4005  27  45  35.858832000000014
ap-28-68-2  3944  28  58  28.961421999999995
ap-28-69-2  3864  28  56  29.677743999999997
ap-28-73-0  3796  28  52  32.265736000000004
ap-28-75-3  4275  28  57  29.153482999999998
ap-28-85-3  4250  28  50  33.153856
ap-28-86-3  4300  28  50  33.281638
ap-28-87-1  4002  28  46  36.193224000000015
ap-28-89-1  4005  28  45  36.737113000000015
ap-28-91-2  3913  28  43  38.91976
ap-29-68-1  4216  29  62  27.678108000000012
ap-29-70-1  4200  29  60  28.588910000000013
ap-29-74-1  4218  29  57  30.09731400000001
ap-29-74-2  4070  29  55  31.266435999999995
ap-29-75-2  4050  29  54  31.687394999999995
ap-29-77-0  4312  29  56  30.74745000000001
ap-29-77-1  4235  29  55  31.294876000000013
ap-29-77-3  4466  29  58  29.856060999999997
ap-29-78-2  4056  29  52  32.97812
ap-29-79-1  4266  29  54  32.18703200000001
ap-29-79-3  4424  29  56  30.830518999999995
ap-29-80-1  4240  29  53  32.67428400000001
ap-29-80-3  4400  29  55  31.159373999999996
ap-29-81-1  4212  29  52  33.04494600000001
ap-29-86-0  4214  29  49  34.93849200000001
ap-29-86-2  3956  29  46  37.078345999999996
ap-29-88-0  3960  29  45  38.27356299999999
ap-29-90-3  4500  29  50  34.229107
mp-23-70-1  3360  23  48  28.588910000000013
mp-23-74-1  3330  23  45  30.09731400000001
mp-23-75-2  3225  23  43  31.687394999999995
mp-23-75-3  3525  23  47  29.153482999999998
mp-23-82-2  3198  23  39  35.044380999999994
mp-23-83-1  3320  23  40  33.79798500000001
mp-23-84-1  3276  23  39  34.56581600000001
mp-23-85-1  3315  23  39  34.92701800000001
mp-23-86-1  3268  23  38  35.64184400000001
mp-23-87-2  3132  23  36  37.423576
mp-23-88-3  3520  23  40  33.823601000000004
mp-23-89-3  3560  23  40  34.012864
mp-24-68-0  3536  24  52  27.541708999999997
mp-24-70-2  3290  24  47  30.081535999999996
mp-24-72-2  3312  24  46  30.997446999999994
mp-24-72-3  3744  24  52  27.615519
mp-24-75-1  3450  24  46  30.766581000000013
mp-24-76-1  3496  24  46  31.043483000000013
mp-24-77-0  3465  24  45  31.636722000000002
mp-24-77-2  3388  24  44  32.639911999999995
mp-24-78-3  3666  24  47  30.305071999999996
mp-24-81-1  3483  24  43  33.04494600000001
mp-24-83-2  3320  24  40  35.283691999999995
mp-24-84-2  3276  24  39  36.20381199999999
mp-24-84-3  3612  24  43  32.780592
mp-24-86-2  3268  24  38  37.078345999999996
mp-24-88-1  3432  24  39  36.48779900000002
mp-25-70-3  3920  25  56  26.505095999999998
mp-25-71-0  3763  25  53  28.189128
mp-25-73-0  3869  25  53  28.038963000000003
mp-25-77-3  3850  25  50  29.856060999999997
mp-25-79-2  3476  25  44  33.64948699999999
mp-25-80-2  3440  25  43  34.13719799999999
mp-25-83-0  3735  25  45  32.652358
mp-25-88-0  3432  25  39  37.82066000000001
mp-25-88-2  3432  25  39  37.65958
mp-25-90-0  3600  25  40  37.42560100000002
mp-26-69-2  3588  26  52  29.677743999999997
mp-26-71-1  3834  26  54  28.82907600000001
mp-26-72-0  3888  26  54  28.417202000000003
mp-26-73-2  3650  26  50  31.166435999999994
mp-26-75-0  3600  26  48  32.416098
mp-26-82-3  3936  26  48  32.248903999999996
mp-26-85-3  3995  26  47  33.153856
mp-26-86-3  3956  26  46  33.281638
mp-26-87-1  3741  26  43  36.193224000000015
mp-26-89-1  3738  26  42  36.737113000000015
mp-26-90-1  3690  26  41  37.155102000000014
mp-27-71-2  3692  27  52  30.837637999999995
mp-27-71-3  4260  27  60  26.961681
mp-27-73-1  3942  27  54  29.730886000000012
mp-27-73-3  4161  27  57  28.058170999999998
mp-27-74-3  4144  27  56  28.512245999999998
mp-27-76-2  3800  27  50  32.153324999999995
mp-27-76-3  4180  27  55  29.420741999999997
mp-27-78-0  3666  27  47  34.09148000000001
mp-27-78-1  3900  27  50  31.89806300000001
mp-27-81-3  4050  27  50  31.813714999999995
mp-27-84-0  3864  27  46  34.50957100000001
mp-27-85-2  3655  27  43  36.970510999999995
mp-27-87-3  4176  27  48  33.421593
mp-27-91-1  3822  27  42  37.891444000000014
mp-27-91-3  4186  27  46  34.630811
mp-28-68-1  4080  28  60  27.678108000000012
mp-28-69-0  4071  28  59  28.133550000000007
mp-28-69-3  4416  28  64  25.927428999999997
mp-28-70-0  4130  28  59  28.118814999999994
mp-28-72-1  4104  28  57  29.228367000000013
mp-28-74-0  3774  28  51  32.53435300000001
mp-28-74-2  3922  28  53  31.266435999999995
mp-28-76-0  4408  28  58  28.513975999999992
mp-28-77-1  4081  28  53  31.294876000000013
mp-28-80-3  4240  28  53  31.159373999999996
mp-28-81-0  4212  28  52  31.775536000000002
mp-28-81-2  3888  28  48  34.63749599999999
mp-28-85-0  3995  28  47  35.26526400000001
mp-28-86-0  4128  28  48  34.48467399999998
mp-28-87-0  3915  28  45  37.005777000000016
mp-29-68-2  4080  29  60  28.961421999999995
mp-29-68-3  4556  29  67  25.827428999999995
mp-29-69-1  4209  29  61  28.334323000000012
mp-29-78-2  4056  29  52  32.97812
mp-29-79-0  4424  29  56  30.657498000000007
mp-29-79-1  4266  29  54  32.18703200000001
mp-29-79-3  4424  29  56  30.830518999999995
mp-29-80-0  4160  29  52  33.165829
mp-29-80-1  4240  29  53  32.67428400000001
mp-29-82-0  4264  29  52  32.99523500000001
mp-29-82-1  4264  29  52  33.44964500000001
mp-29-83-3  4399  29  53  32.507411
mp-29-89-0  4005  29  45  38.04292700000001
mp-29-89-2  4005  29  45  38.183436
mp-29-90-2  4050  29  45  38.46886
mp-29-90-3  4500  29  50  34.229107
mp-29-91-0  4277  29  47  36.800305
mp-29-91-2  4004  29  44  38.91976
ap-24-92-0  3588  24  39  36.774948
ap-27-92-1  3864  27  42  38.253309000000016
ap-29-92-2  3956  29  43  39.598079
mp-23-92-1  3312  23  36  38.253309000000016
ap-29-92-3  4508  29  49  35.233352000000004
mp-23-92-3  3588  23  39  35.233352000000004
mp-25-92-2  3404  25  37  39.598079
mp-29-92-0  3956  29  43  39.87155400000001
